r,g,b
181,159,167
186,168,167
169,143,167
161,141,167
149,137,167
159,140,167
169,161,167
136,120,167
128,112,167
138,111,167
162,177,167
123,114,161
141,104,161
112,76,161
170,120,161
149,118,161
127,114,161
164,130,161
146,105,161
143,99,161
137,106,161
136,93,161
174,147,161
182,151,170
166,145,170
154,125,170
163,126,170
164,131,170
134,116,170
138,122,170
150,141,170
159,146,170
140,118,170
159,154,170
135,127,170
147,126,169
122,102,169
148,132,169
136,124,169
169,155,169
128,106,169
143,118,169
126,125,169
122,100,169
139,104,169
113,87,169
105,71,169
150,133,159
97,71,159
145,107,159
148,120,159
142,113,159
138,123,159
112,94,159
141,124,159
124,94,159
140,97,159
123,93,159
137,111,159
163,159,159
166,158,159
153,134,159
164,141,159
154,134,159
132,112,159
133,111,159
130,124,159
121,102,159
136,102,159
124,83,159
132,114,159
144,148,160
178,166,160
123,108,160
137,135,160
145,123,160
153,144,160
163,154,160
136,113,160
144,131,160
146,121,160
120,105,160
170,163,160
175,159,165
141,121,165
169,148,165
168,158,165
166,150,165
163,159,165
155,143,165
169,148,165
158,141,165
162,156,165
129,122,165
165,153,165
130,111,169
148,132,169
159,137,169
146,139,169
130,114,169
135,118,169
149,133,169
145,136,169
137,135,169
148,144,169
126,113,169
170,161,169
168,143,171
156,133,171
214,213,171
181,169,171
163,152,171
154,149,171
152,144,171
144,132,171
131,124,171
158,157,171
161,170,171
162,169,171
168,140,174
172,161,174
149,124,174
183,168,174
159,128,174
174,155,174
163,150,174
146,136,174
156,151,174
144,144,174
145,126,174
154,127,174
182,163,175
169,146,175
169,141,175
145,116,175
146,118,175
130,121,175
117,102,175
120,101,175
105,79,175
121,120,175
107,90,175
154,139,175
166,147,173
160,141,173
163,147,173
147,133,173
136,117,173
133,116,173
145,124,173
123,111,173
114,98,173
144,130,173
102,74,173
146,131,173
150,130,178
102,89,178
151,149,178
166,156,178
137,137,178
164,158,178
152,138,178
130,123,178
143,139,178
172,148,178
163,150,178
153,135,178
182,167,181
208,197,181
164,145,181
171,154,181
143,121,181
157,170,181
168,166,181
161,165,181
151,153,181
168,156,181
151,158,181
149,137,181
134,130,185
162,165,185
137,128,185
144,131,185
142,126,185
137,124,185
153,149,185
163,162,185
141,116,185
135,123,185
147,128,185
150,164,185
154,144,192
152,145,192
163,159,192
154,148,192
142,125,192
163,158,192
137,127,192
146,146,192
152,156,192
178,153,192
164,147,192
169,149,192
175,141,182
216,209,182
170,156,182
179,174,182
179,174,182
191,186,182
190,173,182
193,167,182
165,136,182
168,142,182
140,125,182
173,178,182
177,163,191
207,205,191
139,120,191
150,143,191
143,134,191
157,150,191
160,144,191
153,147,191
162,143,191
171,148,191
146,139,191
173,169,191
146,130,192
184,171,192
175,172,192
194,188,192
157,142,192
157,153,192
154,151,192
163,156,192
145,136,192
141,113,192
140,111,192
136,121,192
160,164,198
147,147,198
178,169,198
168,169,198
173,175,198
156,158,198
173,167,198
147,155,198
158,152,198
160,147,198
191,187,198
174,163,198
201,203,200
203,206,200
201,214,200
171,169,200
164,173,200
155,153,200
170,187,200
157,160,200
164,170,200
167,151,200
163,165,200
151,130,200
194,207,209
175,164,209
166,163,209
169,165,209
169,174,209
157,151,209
160,155,209
163,162,209
170,160,209
